,tube,cohort,group,matrix,il-22,il-9,il-27,il-23,il-17,TGF-B,IL-1B,IL-4,IL-5,IL-6,IL-13,IFN-G,IL12-P70,GM-CSF,TNF-A,IL-18
0,1,7,PBS,luminex,17.78250447,97.79619521,0.795659394,18.96302611,0.512608635,2.494747304,0.198061904,0.212576317,0.451769691,32.41654067,0.447895509,0.069844294,0.059386834,1.753845867,4.446046153,0
1,2,7,PBS,luminex,22.64177063,51.90275889,1.073750773,11.26581829,1.291574435,4.643890991,3.396125336,0.398487635,0.704225558,27.16099725,1.407674911,0,0,2.239816795,12.76711259,34.34246785
2,3,7,PBS,luminex,26.6590512,68.75757789,0.663053071,12.37421527,1.617231441,1.587137878,0.38621678,0.221580494,0.542990955,26.5071006,0.501733756,0.093826687,0,1.416597864,7.990648182,0
3,4,7,PBS,luminex,21.88535183,55.83033694,1.001477099,21.1594901,1.644557687,17.92850932,11.75695925,2.555958521,0.63953472,37.96840022,0.948887428,0.157329456,0.159574725,2.52619268,36.93115997,142.2724937
4,5,7,PBS,luminex,28.39882626,86.84445282,0.880166284,10.24456378,1.348887244,2.445076752,0.374615928,0.188059229,1.078232637,32.8142774,0.994430062,0.137894721,0.058753245,1.526782259,8.366774057,35.30574545
15,16,7,Sepi44,luminex,20.1676882,65.0996827,0.906380573,26.1481496,2.588209785,24.95989971,18.59404168,1.994384772,0.978741447,100.6219966,0.333442608,0.282091155,0.375402304,4.71239402,190.4504456,103.8515209
16,17,7,Sepi44,luminex,25.43728501,59.43244938,0.72772986,11.16481626,4.402695701,5.940323074,0.380257003,0.486288362,0,21.22406543,0.137398423,0.089119204,0,0.954393284,4.626056713,0
17,18,7,Sepi44,luminex,27.08994906,156.4906,0.494328292,44.06557813,3.916961905,,0.313740953,0.188860422,1.404025692,34.74502236,0.324497272,0,0.114712698,1.049141224,8.664951698,0
18,19,7,Sepi44,luminex,22.55447468,102.4117404,0.619119393,27.06625772,1.840613061,,0.237945743,0.269491114,0.44490768,21.31909804,0.228656866,0.041556062,0,0.742111306,3.369705085,0
19,20,7,Sepi44,luminex,18.45873475,27.40751786,0.640398879,21.73833166,4.250284741,32.95402898,4.577832785,3.656125936,0.470125457,87.29665341,0.152343105,0.154031729,0.29258306,4.085794036,32.35835947,75.56802454
20,1,9,PBS,luminex,61.53832824,33.47115826,2.646001236,19.85391703,2.370106134,,,,,,,,,,,
21,2,9,PBS,luminex,4.30197736,11.76428281,0.64682246,3.637028046,0.282399483,,,,,,,,,,,
22,3,9,PBS,luminex,,15.52507937,0.822802817,2.580763676,0.601413501,,,,,,,,,,,
23,4,9,PBS,luminex,,15.57192498,1.043579962,14.75224111,0.938546954,,,,,,,,,,,
30,11,9,Sepi44,luminex,,,0.76878421,7.733691219,3.64035526,,,,,,,,,,,
31,12,9,Sepi44,luminex,18.79557865,,0.640078685,5.005709492,0.837114004,,,,,,,,,,,
32,13,9,Sepi44,luminex,19.4694173,8.497792753,0.621333548,21.44976685,2.949664585,,,,,,,,,,,
33,14,9,Sepi44,luminex,21.9356602,29.09649194,1.667947101,20.31337366,3.85542945,,,,,,,,,,,
34,15,9,Sepi44,luminex,31.5639216,18.28402696,1.087862861,,3.240686731,,,,,,,,,,,
35,16,9,Sepi44,luminex,,11.89608545,0.893757689,3.269566969,2.071810475,,,,,,,,,,,
